sentID.BTEC	split	BEI	ALEX	AMM	ASW	ALE	CAI	DAM	JER	SAL	MSA	DOH	RAB	TUN	ALG	BAG	BAS	BEN	FES	JED	KHA	MOS	MUS	ARI	SAN	SFX	TRI
105	corpus-6-train	رح إبقى بالفوا ييه تبع جامعة هارفرد.					انا حأفضل في سكن جامعه هارفارد.				سأقيم في مسكن الطلبة الخاص بجامعة هارفارد .	بسكن في سكن جامعة هارفارد.	غادي نبقا في السكن الداخلي ديال جامعة هارفرد.	باش نقعد في مبيت جامعة هارفارد.													
106	corpus-6-train	شو هوي المعدل تبع اليوم؟					كام السعر النهاردة؟				ما هو سعر الصرف اليوم ؟	شنو السعر اليوم؟	شنو هوا المعدل ديال هاد النهار؟	شنية القيمة اليوم؟													
108	corpus-6-train	عندي ربو مزمن.					انا تعبان علطول من التنفس .				أعاني بشكل مزمن من الربو .	فيني ربو مزمن.	كا نعاني من مرض الضيقة المزمنة.	مريض بضيق النفس المزمن.													
109	corpus-6-train	معي حوالي تلات تلاف دولار.					عندي حوالي تلات تلاف دولار.				معي حوالي ثلاثة آلاف دولاراً .	عندي ثلاثة آلاف دولار تقريباً.	عندي تقريباً تلاتة آلاف دولار.	عندي تقريبا تلاثة لاف دولار.													
111	corpus-6-train	ماشي، إستاذ. بيجي معو بطاطا مقلية أو رز بالبيلاف. أياهن بتحب؟					حاضر يا أستاذ . ده بييجي أما مع بطاطس محمرة أو رز بيلاف . حضرتك تحب ايه؟				حسناً ، سيدي . فقد أتت بخيارين مقليات فرنسية أو أرز بالتوابل واللحم ، أيهما تحب ؟	اوكي. الطبق ايي مع بطاطس او أرز بيلاف. شنو تفضل؟	واخا، أسيدي. كا يجي معا فريت أو الروز. إينا واحد تبغي؟	باهي، يا سيدي. نحطلك معاه فريت ولا روز. شنوة تحب؟													
112	corpus-6-train	كيف بوصل لهالمطرح؟					ازاى أوصل للمكان ده؟				كيف أصل إلى ذلك المكان ؟	شلون اروح هالمكان؟	كيفاش نقدر نمشي لهاد لبلاصة؟	كيفاش نمشي للبلاصة هاذي؟													
113	corpus-6-train	شو نوع القصة؟					ايه نوع القصه ديه؟				أي نوع من القصص هي ؟	شنوع القصة؟	إينا نوع ديال القصة هذا؟	شنية نوعها القصة هاذي؟													
115	corpus-6-train	تلات مرات.					تلات مرات .				ثلاث مرات .	ثلاث مرات.	تلاتة ديال المرات.	تلاثة مرات.													
116	corpus-6-train	أي شباك ببيع طوابع؟					أى شباك بيبيع الطوابع؟				أي نافذة تبيع الطوابع ؟	اي كشك يبيع طوابع؟	إينا شرجم كاي بيع التنابر؟	انا هو الشباك اللي يبيع التنابر؟													
117	corpus-6-train	من بعد ما هاجمني، ساق لبعيد بفان أبيض.					بعد ما هاجمني، هرب في عربية صندوق بيضا.				بعد أن هاجمني ، هرب في شاحنة بيضاء .	هاجمني وعقب راح في فان ابيض.	من بعد ما هجم عليا، هرب في سيارة بيضا.	بعد ما هجم علي، هرب في كميونة بيضة.													
119	corpus-6-train	تمام. عمول معروف خلي هالعلامة و قدما بس بدك تجي تاخدا.					أوكي . من فضلك خلي معاك البطاقة ديه و قدمها لما تيجي تستلمه .				حسنا . من فضلك احتفظ بهذه القسيمة وقدمها عندما تقوم بالاختيار .	اوكي. لو سمحت خل هالبطاقة عندك وطلعها لما تجي تستلمه.	واخا. خلي عندك هاد البطاقة و قدمها منين تبغي تجي تديه.	باهي. خلي عندك التيكة هاذي و جيبها معاك كيف تجي بش تهزو.													
120	corpus-6-test-corpus-26-test	كنت بشتري هيدا إذا أنا كنت محلك.	كنت هشترى دة لو كنت مكانك.	أنا كنت راح أشتريه لو كنت محلك.	لو مكانك هشتري ده.	كنت بشتري هاد لو كنت محلك.	لو كنت مكانك كنت صدقت.	لو كنت مكانك كنت اشتريته.	لو كنت مكانك بشتريه.	لو انا مكانك كنت اشتريته.	كنت سأشتري هذا إن كنت في مكانك ؟	لو كنت مكانك جان بشتري هذي.	كون كنت فبلاصتك كون شريتو.	انا في بلاصتك نشريه.	لوكان جيت في بلاصتك نشريها.	لو اني بمكانك جان اشتريتها.	لو بمكانك جان اشتريت هذا.	كنت حنشريه لو كنت مكانك.	كون كنت فبلاستك نشري هادا.	لو أنا مكانك حشتريه.	كنت ح اشتري دا لو انا كنت مكانك.	لو كنتو بمكانك كان اشتغيتونو.	أبا اشتري هذا لو حاب.	بشتري هذا اذا كنت بمكانك.	شا اشتري ذيه لو كنت مكانك.	انا نشريه لو كان كنت انت.	أني حنشري هادي لو كنت مكانك.
122	corpus-6-train	متين دولار . نقدي أو بالبطاقة؟					ميتين دولار . كاش ولا كريديت كارد؟				مائتي دولار . فوري أم عبر البطاقات الائتمانية .	ميتين دولار. كاش او كردت كارد؟	ألفين دولار. فلوس ولا بطاقة بنكية؟	ميتين دولار. فلوس ولا كارطة؟													
125	corpus-6-train	أدي طول الحمولة فوق هيدي البركة؟					ياخد وقت اد ايه علشان نعدي البركة؟				كم من الوقت تستغرق السفينة لعبور هذا المحيط ؟	شكثر تاخذ مدة الرحلة على هالبركة؟	بشحال الركبة فداك الضاية؟	قداش يلزم وقت عبور هاذي البركة؟													
128	corpus-6-train	لازم إتجنب أي نوع من الأكل أنا و عمباخد هالدوا؟					مفروض اننا أبطل اكل معين و انا بأخد الدوا ده؟				هل علىّ أن أتجنب أنواع معينة من الطعام خلال فترة تناولي هذا الدواء ؟	في اكل لازم اتجنبه وانا اخذ هالدوا؟	واش خصني نتجنب شي نوع ديال الماكلة فاش ناكل هاد الدوا؟	فما ماكلة ما يلزمش ناكلها و انا نشرب في الدواء هذا؟													
129	corpus-6-test-corpus-26-train	رح يكون في شي صعوبات مع الجمارك؟	هلاقى أى صعوبة مع الجمارك؟	راح يكون عندي أي صعوبة في التعامل مع الجمارك؟	هو انا هلاقي اى صعوبة مع الجمارك؟	رح ألاقي شي صعوبة بالجمارك؟	حالاقي مشاكل مع الجمارك؟	ممكن واجه صعوبة مع الجمارك؟	رح ألاقي صعوبات في الجمارك؟	رح يكون عندي مشاكل مع الجمارك؟	هل لديك أحذية حريمي عند أصابع القدم ؟	بتكون في اي صعوبات مع الجمارك؟	واش غادي نلقا شي صعوبة مع الديوانا؟	باش نلقى مشكلة مع الديوانة؟	راني حاب نعرف ويدا يكون عندي مشكل مع الجمارك؟	هل راح اواجه صعوبات ويه الكمارك؟	راح اشوف صعوبة ويه الكمارك؟	هل حيكون عندي أي صعوبه مع الجمرك؟	واش غتكون عندي شي صعوبة مع الديوانة؟	ممكن اواجه صعوبات في الجمارك؟	ح أواجه أي صعوبات مع الجمارك؟	هل غاح اواجه اي صعوبات مع الجمارك؟	هل واجهت أي صعوبه مع الجمارك؟	هل بواجه أي صعوبة مع الجمارك؟	هل شا اواجه مشاكل مع الجمارك؟	باش نقابل مشاكل مع الديوانة؟	زعمه حنلاقي صعوبات مع الجمارك؟
130	corpus-6-test-corpus-26-train	عندك صبابط رسمي تبع الأصابيع العراض؟	عندك شوز رسمية بوش واسع؟	عندك كندرة رسمية واسعة من عند الأصابع؟	عندك جزم رسمية بوش عريض؟	عندك حذاء رسمي عريض؟	عندك جزم رسمي واسعه من قدام؟	بلاقي عندك حذاء رسمي للرجلين العراض؟	في عندك كندرة رسمي عريضة؟	عندك احذية رسمية واسعة عند الاصابع؟	هل ستواجهني أية صعوبات في الجمارك ؟	عندك جواتي رسمية حق الرجول العريضة؟	واش عندك صبابط رسمية واسعة عند الصبع؟	تبيعو صبابط رسمية يكونو واسعين من شيرة الصوابع؟	عندكم صبابط رسمية عراض من القدام؟	عندك احذية رسمية ببوز عريض؟	عندك احذية رسمية عريضة من منطقة الأصابع؟	عندك كندرة قفطان مفتوحة عند الصوابع؟	واش عندك أحذية رسمية واسعة من جيهت الصبعين؟	عندك جزم رسمية واسعة عند الأصابع؟	هل عندك جزمة رسمي عريضة عند اصابع القدم؟	عندك حذاء رسمي عغيض مكان الاصابع؟	عندك جواتي رسمية واسعة؟	عندك احذية رسمية واسعة عند الأصابع؟	به معك جزمه رسميه واسعه عند الاصابع؟	عندك صبابط رسمية يكونو واسعين من شيرة الصوابع؟	هل عنك كنادر رسميه واسعه من القدام؟
131	corpus-6-train	فيي أخد شوية نبيد أحمر؟					ممكن شويه نبيت أحمر؟				هل لي ببعض النبيذ الأحمر ؟	بغيت واين احمر؟	ممكن تعطيني شي مشروب؟	من فضلك شوية شراب احمر؟													
133	corpus-6-train	قلي بس نوصل عالمتحف .					قول لي لما نوصل المتحف .				أخبرني عندما نصل إلى المتحف .	خبرني لين وصلنا المتحف.	منين نوصلو للمتحف قولها ليا.	قلي كيف نوصلو للمتحف.													
134	corpus-6-dev	هالباص بيروح عأوتيل الشيراتون؟					الاتوبيس ده بيروح فندق شيراتون؟				هل يذهب هذا الأتوبيس إلى فندق الشيراتون .	يروح هالباص لفندق الشيراتون؟	واش هاد الطوبيس كايمشي لأوطيل الشيراطون؟	الكار هاذي تمشي لوتيل الشيراتون؟													
